nmot_w,mshfm_w,rl_w,rlsol_w,pvdkds_w,plsol_w,lamsoni_w,lamsbg_w,tikatm_w
6330.75,155.417,129.633,166.5,1821.02,2204.1,0.823976,0.820314,827.342
6348.75,156.139,128.977,166.008,1830.08,2203.79,0.820558,0.820314,827.342
6360.25,154.945,128.93,165.797,1824.06,2195.35,0.811769,0.820314,827.342
6356.75,154.639,129.117,166.031,1814.92,2206.13,0.823243,0.820314,829.549
6367.5,154.945,129.375,165.375,1799.77,2202.81,0.823243,0.820314,829.549
6386.5,154.389,129.516,165.445,1796.72,2194.06,0.803712,0.820314,829.549
6389.25,156.5,127.898,165.445,1814.88,2194.06,0.811769,0.820314,829.549
6396.5,156.222,126.047,164.578,1866.56,2196.21,0.813478,0.820314,831.756
6406.5,156.833,128.555,163.969,1805.82,2194.02,0.818849,0.820314,831.756
6414.75,155.667,127.57,163.711,1827.07,2197.3,0.823243,0.820314,831.756
6424.75,156.139,126.68,12.75,1802.77,1010.0,0.804689,0.820314,831.756
6009.5,90.7501,111.141,13.5,1699.45,1010.0,0.997316,1.04688,840.115
6175.25,20.9167,60.0,13.5,1766.33,1010.0,3.80323,1.04688,840.115
6478.5,31.3056,27.0938,13.5,1547.58,1010.0,4.00001,1.04688,840.115
6395.5,25.5,13.3828,13.5,1413.91,1010.0,3.80323,1.04688,841.736
6255.0,22.25,10.9453,13.5,1328.83,1010.0,2.74805,1.04688,841.736
6274.25,24.4722,11.3203,13.5,1268.09,1010.0,2.27002,1.04688,841.736
6331.75,16.3056,11.6016,13.5,1234.65,1010.0,2.21802,1.04688,841.736
6270.0,22.9167,12.0,13.5,1198.2,1010.0,2.58179,1.04688,842.537
6300.75,19.3611,12.0469,13.5,1173.87,1010.0,3.19336,1.04688,842.537
6289.25,18.6667,12.0469,13.5,1158.71,1010.0,3.90162,1.04688,842.537
6250.0,12.8056,12.2578,13.5,1143.52,1010.0,4.00001,1.04688,842.537
6255.0,8.77778,12.2109,13.5,1131.37,1010.0,4.00001,1.04688,843.279
6231.75,10.0278,12.1641,13.5,1119.18,1010.0,4.00001,1.04688,843.279
6196.5,10.8056,12.2813,13.5,1113.13,1010.0,4.00001,1.04688,843.279
6186.25,11.3611,12.3281,13.5,1104.02,1010.0,4.00001,1.04688,843.279
6055.5,12.0,12.4688,13.5,1097.93,1010.0,4.00001,1.04688,843.943
5949.0,12.1667,12.6094,13.5,1091.84,1010.0,4.00001,1.04688,843.943
5848.5,11.5833,12.6563,13.5,1091.84,1010.0,4.00001,1.04688,843.943
5738.25,11.3333,12.6563,13.5,1085.78,1010.0,4.00001,1.04688,844.451
5633.25,11.1667,12.6563,13.5,1085.74,1010.0,4.00001,1.04688,844.451
5488.25,10.8333,12.7031,13.5,1082.7,1010.0,4.00001,1.04688,844.451
5399.5,10.8611,12.7266,13.5,1079.69,1010.0,4.00001,1.04688,844.451
5297.0,10.6667,12.7266,13.5,1079.65,1010.0,4.00001,1.04688,844.861
5205.75,10.2778,12.7031,13.5,1076.68,1010.0,4.00001,1.04688,844.861
5120.0,10.0833,12.7734,13.5,1073.63,1010.0,4.00001,1.04688,844.861
5016.5,9.80556,12.75,13.5,1076.64,1010.0,4.00001,1.04688,844.861
4907.25,9.69445,12.8203,13.5,1076.64,1010.0,4.00001,1.04688,845.173
4819.5,9.66667,12.8672,13.5,1076.64,1010.0,4.00001,1.04688,845.173
4703.0,9.16667,12.8203,13.5,1073.63,1010.0,4.00001,1.04688,845.173
4635.75,8.91667,12.7969,13.5,1073.63,1010.0,4.00001,1.04688,845.427
4544.5,8.86112,12.7969,13.5,1070.59,1010.0,4.00001,1.04688,845.427
4438.25,8.58334,12.8203,13.5,1073.59,1010.0,4.00001,1.04688,845.427
4361.25,8.36112,12.8438,13.5,1073.59,1010.0,4.00001,1.04688,845.427
4242.0,7.86112,12.9141,13.5,1073.59,1010.0,4.00001,1.04688,845.584
4160.75,7.61112,12.8672,13.5,1070.59,1010.0,4.00001,1.04688,845.584
4081.25,7.30556,12.8906,13.5,1073.59,1010.0,4.00001,1.04688,845.584
3993.5,7.52778,12.9609,13.5,1070.59,1010.0,4.00001,1.04688,845.584
